#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BA06E2
#Date Time: 2025-05-29 17:23:28.280.998.410
#Sample rate: 9.102Hz
#Samples: 14759
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: -1 V Sample Mode: Average
#Channel 2: Range: 100 mV/div Offset: 1.5 V Sample Mode: Average
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V Readback: 5.000310592 V
#Negative Supply: ON
#Voltage: -5 V Readback: -4.9983167282 V

Time (s),Channel 1 (V),Channel 2 (V)
-878.92768,0.9968816204526777,-1.560919110891961
-878.81781404,0.9912283406858577,-1.71286604267713
-878.7079480800001,0.9938194272456479,-1.710114804905543
-878.59808212,0.9942120161183461,-1.710193411699015
-878.48821616,0.9924061073039453,-1.711451120394598
-878.3783502,0.9936623916965719,-1.710900872840281
-878.26848424,0.9938979450201894,-1.710586445666385
-878.15861828,0.9929557317257194,-1.712001367948916
-878.0487523199999,0.9926416606275628,-1.713023256264078
-877.93888636,0.9897365029696137,-1.714438178546609
-877.8290204,0.9884017008024478,-1.715774494035666
-877.71915444,0.9884017008024478,-1.71624613479651
-877.60928848,0.9853395075954204,-1.717661057079041
-877.4994225199999,0.9832980454573998,-1.719469013328943
-877.38955656,0.9807069588976097,-1.720255081263682
-877.2796906,0.9810210299957663,-1.72001926088326
-877.16982464,0.9822773143883929,-1.719783440502838
-877.05995868,0.9826699032610888,-1.719154586155047
-876.95009272,0.9842402587518722,-1.719154586155047
-876.84022676,0.9834550810064805,-1.719075979361573
-876.7303608,0.9824343499374714,-1.71962622691589
-876.62049484,0.9831410099083238,-1.719704833709364
-876.51062888,0.9829054565847063,-1.719233192948521
-876.40076292,0.9835335987810196,-1.718840158981151
-876.2908969599999,0.9818847255156957,-1.719783440502838
-876.181031,0.9803143700249138,-1.719154586155047
-876.07116504,0.9785869789850522,-1.720333688057156
-875.96129908,0.9753677502289465,-1.719862047296312
-875.85143312,0.9760744101997989,-1.720648115231052
-875.74156716,0.9774877301415026,-1.719233192948522
-875.6317012,0.9793721567304439,-1.718997372568099
-875.52183524,0.9807854766721489,-1.718761552187677
-875.41196928,0.9809425122212272,-1.717896877459463
-875.30210332,0.9822773143883929,-1.717582450285567
-875.19223736,0.9814921366430014,-1.717661057079041
-875.0823713999999,0.9807854766721515,-1.716796382350827
-874.97250544,0.9837691521046371,-1.715617280448718
-874.86263948,0.9852609898208813,-1.714988426100927
-874.75277352,0.9874594875079779,-1.713887930992291
-874.64290756,0.9885587363515261,-1.713573503818395
-874.5330416,0.989265396322378,-1.712473008709761
-874.42317564,0.990835751813162,-1.712001367948916
-874.31330968,0.9907572340386228,-1.711136693220702
-874.20344372,0.9921705539803277,-1.709800377731645
-874.09357776,0.9925631428530236,-1.709564557351223
-873.9837118,0.9928772139511802,-1.70830684865564
-873.8738458399999,0.9950757116382772,-1.707284960340477
-873.76397988,0.9954683005109727,-1.706105858438369
-873.65411392,0.9969601382272169,-1.70453372256889
-873.54424796,0.9979023515216868,-1.70335462066678
-873.434382,0.9987660470416176,-1.700524776101718
-873.32451604,1.001278615826869,-1.697616324743184
-873.21465008,1.001828240248645,-1.695965582080228
-873.10478412,1.003398595739428,-1.694079019036853
-872.99491816,1.00418377348482,-1.692664096754321
-872.8850522,1.003791184612124,-1.692349669580425
-872.77518624,1.005204504553829,-1.691170567678316
-872.6653202799999,1.004968951230212,-1.690305892950102
-872.55545432,1.006225235622838,-1.688497936700201
-872.44558836,1.006853377819152,-1.687318834798092
-872.3357224,1.007088931142769,-1.686139732895983
-872.22585644,1.008502251084474,-1.684174563059134
-872.1159904800001,1.008345215535396,-1.682995461157025
-872.00612452,1.009287428829866,-1.680637257352805
-871.89625856,1.010072606575257,-1.678436267135534
-871.7863926,1.010072606575257,-1.675685029363946
-871.67652664,1.011642962066041,-1.671754689690248
-871.56666068,1.011878515389658,-1.669553699472976
-871.4567947199999,1.012585175360511,-1.667116888875284
-871.34692876,1.012820728684128,-1.665701966592752
-871.2370628,1.012271104262354,-1.664287044310221
-871.12719684,1.012899246458667,-1.660671131810419
-871.01733088,1.012192586487815,-1.658548748386622
-870.9074649199999,1.011799997615119,-1.655011442680291
-870.79759896,1.011642962066041,-1.652338811702179
-870.687733,1.010465195447953,-1.650295035071856
-870.57786704,1.010308159898875,-1.64620748181121
-870.46800108,1.008737804408092,-1.643220423659199
-870.35813512,1.007167448917308,-1.639447297572449
-870.2482691599999,1.005989682299221,-1.636145812246543
-870.1384032,1.004419326808438,-1.634416462790115
-870.02853724,1.003320077964889,-1.631114977464209
-869.91867128,1.002063793572262,-1.62954284159473
-869.80880532,1.000493438081479,-1.627577671757881
-869.6989393599999,0.9993941892379294,-1.625062254366713
-869.5890734,0.9977453159726085,-1.624118972845026
-869.47920744,0.9959394071582077,-1.62160355545386
-869.36934148,0.9940549805692678,-1.62003141958438
-869.25947552,0.9917779651076319,-1.618459283714901
-869.14960956,0.9895794674205354,-1.615865259530261
-869.0397436,0.9870668986352821,-1.615079191595521
-868.92987764,0.9845543298500288,-1.613035414965198
-868.82001168,0.9820417610647755,-1.611777706269614
-868.71014572,0.9791366034068264,-1.610834424747927
-868.60027976,0.9764669990724948,-1.608869254911078
-868.4904137999999,0.9738759125127,-1.608319007356759
-868.38054784,0.9712848259529099,-1.607218512248125
-868.27068188,0.9686152216185783,-1.606589657900333
-868.16081592,0.9658670995097075,-1.606589657900333
-868.05094996,0.962726388528141,-1.605724983172119
-867.941084,0.9597427130956553,-1.606039410346015
-867.83121804,0.9562879310159293,-1.605567769585171
-867.72135208,0.9534612911325194,-1.605724983172119
-867.61148612,0.950399097925492,-1.606746871487281
-867.50162016,0.9469443158457688,-1.606982691867703
-867.3917542,0.9442747115114372,-1.608240400563286
-867.2818882399999,0.9411340005298676,-1.609183682084975
-867.17202228,0.9379147717737648,-1.610205570400135
-867.06215632,0.9350881318903549,-1.61209213344351
-866.95229036,0.9317903853597099,-1.613507055726042
-866.8424244,0.9292778165744566,-1.615472225562891
-866.73255844,0.926215623367432,-1.617516002193212
-866.62269248,0.9230749123858626,-1.619795599203959
-866.51282652,0.920405308051531,-1.622861264149443
-866.40296056,0.9167934904227294,-1.62537668154061
-866.2930946,0.9142024038629369,-1.628049312518725
-866.18322864,0.9118468706267621,-1.630800550290313
-866.0733626799999,0.9096483729396654,-1.63331596768148
-865.96349672,0.9083920885470388,-1.635595564692225
-865.85363076,0.9065076619580988,-1.63787516170297
-865.7437648,0.9054084131145506,-1.639840331539819
-865.63389884,0.9045447175946197,-1.641962714963616
-865.52403288,0.9033669509765333,-1.644085098387411
-865.41416692,0.9028958443292973,-1.646050268224262
-865.30430096,0.9017180777112097,-1.648487078821955
-865.194435,0.9010899355148965,-1.650923889419647
-865.08456904,0.9005403110931223,-1.653439306810814
-864.97470308,0.899441062249574,-1.656269151375877
-864.8648371199999,0.8992055089259565,-1.658548748386622
-864.75497116,0.8987344022787215,-1.661614413332106
-864.6451052,0.8983418134060257,-1.664522864690643
-864.53523924,0.8982632956314864,-1.667195495668758
-864.42537328,0.898027742307869,-1.67041837420119
-864.3155073199999,0.8983418134060259,-1.673091005179308
-864.20564136,0.8985773667296432,-1.676313883711737
-864.0957754,0.8988129200532606,-1.67953676224417
-863.98590944,0.8995195800241131,-1.682209393222284
-863.87604348,0.9000692044458873,-1.685668092135139
-863.76617752,0.9009328999658182,-1.688026295939358
-863.6563115599999,0.901875113260288,-1.690777533710946
-863.5464456,0.9026602910056797,-1.693685985069483
-863.43657964,0.9039165753983064,-1.695572548112858
-863.32671368,0.9050943420163938,-1.698245179090973
-863.21684772,0.9065076619580988,-1.700053135340874
-863.1069817599999,0.9083135707725012,-1.702411339145095
-862.9971158,0.9099624440378221,-1.705005363329734
-862.88724984,0.9115327995286053,-1.706498892405739
-862.77738388,0.9134957438920845,-1.709092916590379
-862.66751792,0.9151446171574069,-1.710586445666385
-862.55765196,0.9172645970699644,-1.712394401916286
-862.447786,0.9196201303061393,-1.714516785340083
-862.33792004,0.9215045568950793,-1.71546006686177
-862.22805408,0.9240171256803326,-1.717425236698619
-862.11818812,0.9259015522692725,-1.718447125013781
-862.00832216,0.9282570855054475,-1.719469013328943
-861.8984561999999,0.9306126187416242,-1.720883935611474
-861.78859024,0.9324970453305624,-1.721276969578844
-861.67872428,0.9354022029885115,-1.722456071480953
-861.56885832,0.9375221829010689,-1.723006319035271
-861.45899236,0.9401917872354005,-1.723556566589588
-861.3491264,0.9433324982169643,-1.724657061698223
-861.23926044,0.9452954425804463,-1.72457845490475
-861.12939448,0.9486717068856304,-1.725207309252542
-861.01952852,0.9511842756708837,-1.725600343219912
-860.90966256,0.9540109155542936,-1.725443129632964
-860.7997966,0.9574656976340169,-1.725914770393807
-860.6899306399999,0.9596641953211167,-1.725521736426437
-860.58006468,0.9631974951753759,-1.725443129632964
-860.47019872,0.9657885817351683,-1.725128702459068
-860.36033276,0.9680655971968042,-1.724264027730854
-860.2504668,0.971363343727449,-1.723713780176536
-860.14060084,0.9729336992182309,-1.722849105448324
-860.03073488,0.9757603391016423,-1.721748610339687
-859.92086892,0.9780373545632781,-1.720805328818
-859.81100296,0.9798432633776789,-1.719469013328943
-859.701137,0.9828269388101671,-1.718211304633359
-859.59127104,0.984161740977333,-1.71703220273125
-859.4814050799999,0.9866743097625862,-1.715381460068296
-859.37153912,0.9887157719006046,-1.714123751372713
-859.26167316,0.9896579851950745,-1.712630222296708
-859.1518072,0.992249071754867,-1.710900872840281
